leaguename,matchdate,matchday,hometeam,awayteam,homescore,awayscore,attendance
"Allsvenskan 1924/25",1924-08-03,1,AIK,"Västerås IK",5,1,2000
"Allsvenskan 1924/25",1924-08-03,1,"IFK Eskilstuna","IK Sleipner",1,3,700
"Allsvenskan 1924/25",1924-08-03,1,"Helsingborgs IF",GAIS,1,2,3000
"Allsvenskan 1924/25",1924-08-03,1,"IFK Malmö","IFK Göteborg",1,1,3276
"Allsvenskan 1924/25",1924-08-03,1,"IFK Norrköping","Landskrona BoIS",0,1,1500
"Allsvenskan 1924/25",1924-08-03,1,"Örgryte IS","Hammarby IF",5,1,4000
"Allsvenskan 1924/25",1924-08-10,2,GAIS,"IFK Norrköping",3,2,3000
"Allsvenskan 1924/25",1924-08-10,2,"Hammarby IF",AIK,1,7,2000
"Allsvenskan 1924/25",1924-08-10,2,"Helsingborgs IF","IFK Malmö",4,2,2400
"Allsvenskan 1924/25",1924-08-10,2,"Landskrona BoIS","IFK Göteborg",0,4,1000
"Allsvenskan 1924/25",1924-08-10,2,"IK Sleipner","Örgryte IS",0,1,2280
"Allsvenskan 1924/25",1924-08-10,2,"Västerås IK","IFK Eskilstuna",0,1,600
"Allsvenskan 1924/25",1924-08-08,3,"IFK Göteborg",GAIS,1,3,3600
"Allsvenskan 1924/25",1924-08-17,3,AIK,"IK Sleipner",3,2,3800
"Allsvenskan 1924/25",1924-08-17,3,"IFK Eskilstuna","Hammarby IF",7,2,700
"Allsvenskan 1924/25",1924-08-17,3,"IFK Göteborg","Västerås IK",8,1,650
"Allsvenskan 1924/25",1924-08-17,3,"Landskrona BoIS","Helsingborgs IF",1,1,2000
"Allsvenskan 1924/25",1924-08-17,3,"IFK Malmö","Örgryte IS",0,1,2378
"Allsvenskan 1924/25",1924-08-15,4,GAIS,"Örgryte IS",1,1,5500
"Allsvenskan 1924/25",1924-08-15,4,"IFK Norrköping","IK Sleipner",3,2,2300
"Allsvenskan 1924/25",1924-08-24,4,"IFK Göteborg",AIK,1,0,7000
"Allsvenskan 1924/25",1924-08-24,4,"Hammarby IF","Landskrona BoIS",3,3,3000
"Allsvenskan 1924/25",1924-08-24,4,"Helsingborgs IF","IFK Eskilstuna",3,2,2500
"Allsvenskan 1924/25",1924-08-24,4,"IFK Malmö","Västerås IK",3,3,1764
"Allsvenskan 1924/25",1924-08-31,5,"Hammarby IF","IK Sleipner",3,3,1500
"Allsvenskan 1924/25",1924-08-31,5,"IFK Norrköping","IFK Eskilstuna",2,1,1750
"Allsvenskan 1924/25",1924-08-31,5,"Örgryte IS",AIK,5,1,8023
"Allsvenskan 1924/25",1924-09-21,5,"IFK Göteborg","Helsingborgs IF",2,1,6807
"Allsvenskan 1924/25",1924-09-21,5,"Landskrona BoIS","IFK Malmö",2,4,1900
"Allsvenskan 1924/25",1924-09-21,5,"Västerås IK",GAIS,1,1,800
"Allsvenskan 1924/25",1924-09-07,6,GAIS,"Helsingborgs IF",3,2,6000
"Allsvenskan 1924/25",1924-09-07,6,"Hammarby IF","IFK Norrköping",1,2,12000
"Allsvenskan 1924/25",1924-09-07,6,"Landskrona BoIS","Örgryte IS",0,5,2000
"Allsvenskan 1924/25",1924-09-07,6,"IK Sleipner","IFK Eskilstuna",2,1,1400
"Allsvenskan 1924/25",1924-09-07,6,"Västerås IK",AIK,1,3,1800
"Allsvenskan 1924/25",1924-11-09,6,"IFK Göteborg","IFK Malmö",6,1,5500
"Allsvenskan 1924/25",1924-09-14,7,AIK,"IFK Malmö",6,3,5000
"Allsvenskan 1924/25",1924-09-14,7,"IFK Eskilstuna",GAIS,1,2,2000
"Allsvenskan 1924/25",1924-09-14,7,"Helsingborgs IF","IK Sleipner",1,0,2800
"Allsvenskan 1924/25",1924-09-14,7,"IFK Norrköping","Hammarby IF",2,0,1325
"Allsvenskan 1924/25",1924-09-14,7,"Västerås IK","IFK Göteborg",1,5,1500
"Allsvenskan 1924/25",1924-09-14,7,"Örgryte IS","Landskrona BoIS",4,1,5542
"Allsvenskan 1924/25",1924-08-24,8,"IK Sleipner",GAIS,1,2,2100
"Allsvenskan 1924/25",1924-09-28,8,"Hammarby IF","IFK Göteborg",0,6,5000
"Allsvenskan 1924/25",1924-09-28,8,"Helsingborgs IF","Västerås IK",5,0,1900
"Allsvenskan 1924/25",1924-09-28,8,"Landskrona BoIS",AIK,3,0,2315
"Allsvenskan 1924/25",1924-09-28,8,"IFK Malmö","IFK Eskilstuna",8,3,1411
"Allsvenskan 1924/25",1924-09-28,8,"Örgryte IS","IFK Norrköping",3,0,6395
"Allsvenskan 1924/25",1924-10-05,9,AIK,"Helsingborgs IF",5,2,6500
"Allsvenskan 1924/25",1924-10-05,9,"IFK Eskilstuna","Örgryte IS",1,4,2700
"Allsvenskan 1924/25",1924-10-05,9,"IFK Göteborg","IFK Norrköping",3,1,7330
"Allsvenskan 1924/25",1924-10-05,9,"Landskrona BoIS",GAIS,0,0,1500
"Allsvenskan 1924/25",1924-10-05,9,"IFK Malmö","Hammarby IF",3,1,1345
"Allsvenskan 1924/25",1924-10-05,9,"IK Sleipner","Västerås IK",2,0,1400
"Allsvenskan 1924/25",1924-10-12,10,AIK,"IFK Norrköping",5,0,4500
"Allsvenskan 1924/25",1924-10-12,10,"IFK Eskilstuna","IFK Göteborg",2,8,1950
"Allsvenskan 1924/25",1924-10-12,10,GAIS,"Hammarby IF",5,1,6000
"Allsvenskan 1924/25",1924-10-12,10,"Helsingborgs IF","Örgryte IS",1,1,4985
"Allsvenskan 1924/25",1924-10-12,10,"IK Sleipner","IFK Malmö",1,1,1400
"Allsvenskan 1924/25",1924-10-12,10,"Västerås IK","Landskrona BoIS",2,2,700
"Allsvenskan 1924/25",1924-08-22,11,"IFK Göteborg","Örgryte IS",2,2,6010
"Allsvenskan 1924/25",1924-10-19,11,GAIS,"Landskrona BoIS",6,0,7000
"Allsvenskan 1924/25",1924-10-19,11,"Hammarby IF","IFK Malmö",1,1,3000
"Allsvenskan 1924/25",1924-10-19,11,"Helsingborgs IF",AIK,1,0,5000
"Allsvenskan 1924/25",1924-10-19,11,"IFK Norrköping","IFK Göteborg",4,1,1800
"Allsvenskan 1924/25",1924-10-19,11,"Västerås IK","IK Sleipner",1,2,1000
"Allsvenskan 1924/25",1924-10-26,12,AIK,"IFK Göteborg",3,4,8500
"Allsvenskan 1924/25",1924-10-26,12,"Landskrona BoIS","IK Sleipner",1,0,1500
"Allsvenskan 1924/25",1924-10-26,12,"IFK Malmö",GAIS,0,3,2500
"Allsvenskan 1924/25",1924-10-26,12,"IFK Norrköping","Helsingborgs IF",0,4,2000
"Allsvenskan 1924/25",1924-10-26,12,"Västerås IK","Hammarby IF",1,1,675
"Allsvenskan 1924/25",1924-10-26,12,"Örgryte IS","IFK Eskilstuna",3,2,5618
"Allsvenskan 1924/25",1924-11-02,13,"IFK Eskilstuna","Landskrona BoIS",5,0,1500
"Allsvenskan 1924/25",1924-11-02,13,GAIS,AIK,2,1,5000
"Allsvenskan 1924/25",1924-11-02,13,"Hammarby IF","Helsingborgs IF",0,6,2300
"Allsvenskan 1924/25",1924-11-02,13,"IFK Malmö","IFK Norrköping",4,1,1500
"Allsvenskan 1924/25",1924-11-02,13,"IK Sleipner","IFK Göteborg",2,2,2000
"Allsvenskan 1924/25",1925-04-12,13,"Örgryte IS","Västerås IK",7,1,3922
"Allsvenskan 1924/25",1925-04-05,14,"IFK Göteborg","Landskrona BoIS",6,0,1000
"Allsvenskan 1924/25",1925-04-10,14,GAIS,"Västerås IK",4,0,3600
"Allsvenskan 1924/25",1925-05-17,14,"Hammarby IF","IFK Eskilstuna",0,2,1200
"Allsvenskan 1924/25",1925-05-17,14,"IFK Malmö","IK Sleipner",4,1,1524
"Allsvenskan 1924/25",1925-05-17,14,"IFK Norrköping",AIK,1,0,1600
"Allsvenskan 1924/25",1925-05-17,14,"Örgryte IS","Helsingborgs IF",0,0,4000
"Allsvenskan 1924/25",1925-04-13,15,GAIS,"IFK Eskilstuna",4,0,3722
"Allsvenskan 1924/25",1925-04-13,15,"Helsingborgs IF","IFK Norrköping",4,3,2100
"Allsvenskan 1924/25",1925-04-13,15,"IK Sleipner",AIK,2,1,1500
"Allsvenskan 1924/25",1925-05-08,15,"Örgryte IS","IFK Göteborg",0,1,11046
"Allsvenskan 1924/25",1925-05-15,15,"Hammarby IF","Västerås IK",1,3,2000
"Allsvenskan 1924/25",1925-06-05,15,"IFK Malmö","Landskrona BoIS",0,1,2000
"Allsvenskan 1924/25",1925-04-19,16,AIK,"IFK Eskilstuna",6,1,4000
"Allsvenskan 1924/25",1925-04-19,16,"Landskrona BoIS","Hammarby IF",2,3,1200
"Allsvenskan 1924/25",1925-04-19,16,"IFK Malmö","Helsingborgs IF",1,3,1923
"Allsvenskan 1924/25",1925-04-19,16,"IFK Norrköping",GAIS,0,2,1300
"Allsvenskan 1924/25",1925-04-19,16,"Örgryte IS","IK Sleipner",6,1,6947
"Allsvenskan 1924/25",1925-05-21,16,"IFK Eskilstuna","Västerås IK",1,0,1100
"Allsvenskan 1924/25",1925-04-11,17,"IFK Göteborg","IFK Eskilstuna",2,2,3578
"Allsvenskan 1924/25",1925-04-26,17,GAIS,"IK Sleipner",4,0,5212
"Allsvenskan 1924/25",1925-04-26,17,"Hammarby IF","Örgryte IS",2,1,7000
